,Date,Exchange Rate
0,2022-11-29,444.17
1,2022-11-28,444.03
2,2022-11-25,443.87
3,2022-11-24,443.74
4,2022-11-23,443.43
5,2022-11-22,443.26
6,2022-11-21,443.13
7,2022-11-18,442.99
8,2022-11-17,442.66
9,2022-11-16,442.35
10,2022-11-15,442.02
11,2022-11-14,441.69
12,2022-11-11,441.33
13,2022-11-10,440.96
14,2022-11-09,440.63
15,2022-11-08,440.29
16,2022-11-07,440.03
17,2022-11-04,439.76
18,2022-11-03,439.38
19,2022-11-02,439.17
20,2022-11-01,438.87
21,2022-10-31,438.52
22,2022-10-28,438.35
23,2022-10-27,438.0
24,2022-10-26,437.66
25,2022-10-25,437.18
26,2022-10-24,437.18
27,2022-10-21,437.0
28,2022-10-20,436.78
29,2022-10-19,436.61
30,2022-10-18,436.48
31,2022-10-17,436.35
32,2022-10-13,435.56
33,2022-10-12,435.2
34,2022-10-11,434.77
35,2022-10-07,434.28
36,2022-10-06,433.72
37,2022-10-05,433.4
38,2022-10-04,433.04
39,2022-09-29,432.37
40,2022-09-28,432.04
41,2022-09-27,431.69
42,2022-09-26,431.33
43,2022-09-23,430.99
44,2022-09-22,430.59
45,2022-09-21,430.21
46,2022-09-20,429.87
47,2022-09-19,429.51
48,2022-09-16,429.18
49,2022-09-15,428.88
50,2022-09-14,428.61
51,2022-09-13,428.31
52,2022-09-12,428.01
53,2022-09-09,427.6
54,2022-09-08,427.26
55,2022-09-07,426.93
56,2022-09-06,426.11
57,2022-09-05,425.78
58,2022-09-02,424.55
59,2022-09-01,423.92
60,2022-08-31,423.48
61,2022-08-30,422.38
62,2022-08-29,422.88
63,2022-08-26,422.51
64,2022-08-25,422.2
65,2022-08-24,421.89
66,2022-08-23,421.58
67,2022-08-22,421.21
68,2022-08-19,420.9
69,2022-08-18,420.33
70,2022-08-17,420.33
71,2022-08-16,419.96
72,2022-08-12,419.39
73,2022-08-11,419.22
74,2022-08-10,418.87
75,2022-08-09,418.69
76,2022-08-08,417.97
77,2022-08-05,417.97
78,2022-08-04,417.57
79,2022-08-03,416.98
80,2022-08-02,416.69
81,2022-08-01,416.4
82,2022-07-29,415.68
83,2022-07-28,415.87
84,2022-07-27,415.46
85,2022-07-26,415.64
86,2022-07-25,415.29
87,2022-07-22,415.25
88,2022-07-21,415.22
89,2022-07-20,415.25
90,2022-07-19,414.85
91,2022-07-18,415.05
92,2022-07-15,414.92
93,2022-07-14,414.9
94,2022-07-13,414.83
95,2022-07-08,414.71
96,2022-07-07,414.83
97,2022-07-06,414.76
98,2022-07-05,414.83
99,2022-07-04,414.8
100,2022-07-01,414.86
101,2022-06-30,414.72
102,2022-06-29,414.77
103,2022-06-28,414.6
104,2022-06-27,414.64
105,2022-06-24,415.0
106,2022-06-23,414.99
107,2022-06-22,415.09
108,2022-06-21,415.15
109,2022-06-20,415.25
110,2022-06-17,415.32
111,2022-06-16,415.37
112,2022-06-15,414.79
113,2022-06-14,415.22
114,2022-06-09,415.13
115,2022-06-08,415.13
116,2022-06-07,415.13
117,2022-06-06,415.13
118,2022-06-03,414.63
119,2022-06-02,415.12
120,2022-06-01,415.08
121,2022-05-31,415.15
122,2022-05-30,415.07
123,2022-05-27,415.13
124,2022-05-26,415.22
125,2022-05-25,415.22
126,2022-05-24,415.18
127,2022-05-23,415.18
128,2022-05-20,415.08
129,2022-05-19,415.12
130,2022-05-18,415.12
131,2022-05-17,415.18
132,2022-05-16,415.25
133,2022-05-13,414.74
134,2022-05-12,414.76
135,2022-05-11,414.83
136,2022-05-09,414.83
137,2022-05-06,415.3
138,2022-05-05,415.19
139,2022-05-04,415.12
140,2022-04-29,415.19
141,2022-04-28,415.26
142,2022-04-27,415.33
143,2022-04-26,415.42
144,2022-04-25,415.48
145,2022-04-22,415.08
146,2022-04-21,415.58
147,2022-04-20,415.58
148,2022-04-19,415.5
149,2022-04-14,415.0
150,2022-04-13,415.03
151,2022-04-12,415.08
152,2022-04-11,415.09
153,2022-04-08,415.62
154,2022-04-07,415.65
155,2022-04-06,415.65
156,2022-04-04,415.72
157,2022-04-01,415.72
158,2022-03-30,415.75
159,2022-03-29,415.72
160,2022-03-29,415.75
161,2022-03-28,415.75
162,2022-03-25,415.73
163,2022-03-24,415.75
164,2022-03-23,415.75
165,2022-03-22,415.75
166,2022-03-21,415.82
167,2022-03-18,415.89
168,2022-03-17,415.92
169,2022-03-16,415.92
170,2022-03-15,415.92
171,2022-03-14,415.95
172,2022-03-11,415.8
173,2022-03-10,415.84
174,2022-03-09,415.84
175,2022-03-08,415.84
176,2022-03-07,415.84
177,2022-03-04,415.77
178,2022-03-03,415.91
179,2022-03-02,415.86
180,2022-03-01,415.96
181,2022-02-28,416.09
182,2022-02-25,416.02
183,2022-02-24,415.89
184,2022-02-23,415.89
185,2022-02-22,415.89
186,2022-02-21,415.89
187,2022-02-18,415.87
188,2022-02-17,415.87
189,2022-02-16,415.87
190,2022-02-15,415.81
191,2022-02-14,415.81
192,2022-02-11,416.41
193,2022-02-10,417.01
194,2022-02-09,416.87
195,2022-02-08,416.75
196,2022-02-07,416.55
197,2022-02-04,416.38
198,2022-02-03,416.21
199,2022-02-02,416.04
200,2022-02-01,415.86
201,2022-01-31,415.26
202,2022-01-28,415.83
203,2022-01-27,415.66
204,2022-01-26,415.49
205,2022-01-25,415.32
206,2022-01-24,415.14
207,2022-01-21,415.03
208,2022-01-20,414.95
209,2022-01-19,414.8
210,2022-01-18,414.67
211,2022-01-17,414.5
212,2022-01-14,414.39
213,2022-01-13,414.29
214,2022-01-12,414.11
215,2022-01-11,413.94
216,2022-01-10,413.76
217,2022-01-07,413.64
218,2022-01-06,413.46
219,2022-01-05,413.29
220,2022-01-04,413.17
